date,GLD,IEF,SPY,USO,UUP
2009-11-11,0.011163,0.00286,0.00511,0.003464,0.001782
2009-11-12,-0.012682,0.000329,-0.010168,-0.031566,0.014235
2009-11-13,0.014139,0.000767,0.005411,-0.00382,-0.021053
2009-11-16,0.017223,0.005368,0.014505,0.029908,-0.00448
2009-11-17,0.003046,0.002179,0.00116,0.004716,0.006301
2009-11-18,0.002501,-0.002501,-0.00062,0.004694,-0.003578
2009-11-19,0.000445,0.001199,-0.013031,-0.024834,0.003142
2009-11-20,0.005699,-0.000109,-0.003551,-0.006051,0.004027
2009-11-23,0.011953,-0.001415,0.012702,-0.001015,-0.007576
2009-11-24,0.00385,0.005125,0.001534,-0.020315,0.000898
2009-11-25,0.016473,0.003363,0.003514,0.023847,-0.011664
2009-11-27,-0.013377,0.004541,-0.016251,-0.025316,0.01044
2009-11-30,0.005041,0.001614,0.003377,0.016883,-0.004043
2009-12-01,0.015047,-0.007737,0.01237,0.012005,-0.004511
2009-12-02,0.015335,-0.002058,-0.000449,-0.019687,0.003172
2009-12-03,-0.004028,-0.004666,-0.00782,-0.008239,0.000452
2009-12-04,-0.041676,-0.007414,0.005708,-0.004932,0.014898
2009-12-07,-0.005653,0.002746,-0.001531,-0.021915,0.0
2009-12-08,-0.019096,0.003505,-0.011097,-0.017071,0.004893
2009-12-09,-0.000991,-0.001965,0.00375,-0.026594,-0.003984
2009-12-10,-0.00018,-0.003391,0.005626,-0.003903,0.0
2009-12-11,-0.013535,-0.004939,0.004248,-0.006997,0.008
2009-12-14,0.008416,0.0,0.00684,0.002819,-0.002205
2009-12-15,-0.000272,-0.003198,-0.004648,0.009837,0.00707
2009-12-16,0.012522,0.0,0.001527,0.022544,-0.000878
2009-12-17,-0.038086,0.008852,-0.012016,-0.010343,0.01054
2009-12-18,0.014999,-0.004935,0.000272,0.008251,0.0
2009-12-21,-0.018357,-0.01025,0.010162,-0.013639,0.003042
2009-12-22,-0.007293,-0.004454,0.003593,0.011062,0.003466
2009-12-23,0.003579,-0.000447,0.001969,0.032276,-0.005613
2009-12-24,0.016987,-0.003581,0.004734,0.012189,0.0
2009-12-28,0.001753,-0.002695,0.002134,0.017277,-0.002605
2009-12-29,-0.009949,0.000788,-0.001402,-0.000515,0.003048
2009-12-30,-0.005025,0.0018,-0.000373,0.007724,0.0
2009-12-31,0.003554,-0.00483,-0.009598,0.003577,0.001736
2010-01-04,0.023204,0.002483,0.01696,0.025204,-0.006932
2010-01-05,-0.000911,0.004391,0.002647,0.003477,-0.000436
2010-01-06,0.0165,-0.004035,0.000704,0.013858,-0.002619
2010-01-07,-0.006188,0.0,0.004221,-0.006102,0.006565
2010-01-08,0.004963,0.001238,0.003328,0.005157,-0.006957
2010-01-11,0.013289,0.000674,0.001397,-0.009528,-0.005254
2010-01-12,-0.020913,0.007189,-0.009326,-0.022447,0.0
2010-01-13,0.009503,-0.004796,0.008446,-0.010598,-0.00088
2010-01-14,0.004393,0.004707,0.002705,-0.003825,-0.002643
2010-01-15,-0.010444,0.004462,-0.011224,-0.016897,0.005742
2010-01-19,0.005953,-0.001777,0.012496,0.013802,0.003074
2010-01-20,-0.023135,0.003449,-0.010169,-0.026715,0.012259
2010-01-21,-0.014412,0.003659,-0.019229,-0.017155,0.0
2010-01-22,-0.001863,0.000884,-0.022292,-0.024168,-0.00173
2010-01-25,0.002893,-0.002207,0.005128,0.012933,-0.0013
2010-01-26,0.000744,0.001991,-0.004191,-0.008422,0.004338
2010-01-27,-0.009595,-0.002318,0.004757,-0.011507,0.003456
2010-01-28,-0.000451,-0.000332,-0.011472,0.002217,0.001722
2010-01-29,-0.004884,0.003874,-0.010869,-0.014381,0.007735
